name,conference_link,description,location,deadline,date,notification,subformat_details
QEST,https://www.qest-formats.org/,Quantitative Evaluation of SysTems,"Calgary, Canada",10/15 April 2024,9-13 September 2024,31 May 2024,"LNCS, 14 pages regular, 7 pages short, both excluding references; 4 pages work in progress"
FORMATS,https://www.qest-formats.org/,Formal Modeling and Analysis of Timed Systems,"Calgary, Canada",10/15 April 2024,9-13 September 2024,31 May 2024,"LNCS, 14 pages regular, 7 pages short, both excluding references; 4 pages work in progress"
HALG,https://halg2024.ideas-ncbr.pl/,Highlights of Algorithms,"Warsaw, Poland",11 April 2024,3-5 June 2024,,
DCFS,https://sites.google.com/scu.edu/dcfs24/,Descriptional Complexity of Formal Systems,"Santa Clara, California, USA",12 April 2024,25-27 June 2024,26 April 2024,"LNCS, 12 pages"
AUTOMATA,https://automata2024.webspace.durham.ac.uk/,Cellular Automata and Discrete Complex Systems,"Durham, United Kingdom",12 April 2024,22-24 July 2024,3 May 2024,"LNCS, 12 pages full, 8 pages exploratory, 4 pages extended abstracts"
CILC,https://cilc2024.github.io/,Italian Conference on Computational Logic,"Rome, Italy",12 April 2024,26-28 June 2024,22 May 2024,"CEURART, 15 pages full, 8 pages short"
SC2,http://www.sc-square.org/CSA/workshop9.html,Satisfiability Checking and Symbolic Computation,"Nancy, France",12 April 20243 May 2024,2 July 2024,17 May 2024,"CEUR-WG, 16 pages full, 4 pages extended abstracts, both excluding references, 2 pages presentation only; second deadline for ISSAC Fast-Track; co-located with IJCAR"
CCS,https://www.sigsac.org/ccs/CCS2024/,Computer and Communication Security,"Salt Lake City, Utah, USA",14 April 2024,14-18 October 2024,,"ACM, 12 pages excluding references"
SmartData,https://ieee-cybermatics.org/2024/smartdata/,Smart Data,"Copenhagen, Denmark",15 April 2024,19-22 August 2024,20 May 2024,"IEEE Transactions, 8 pages regular, 6 pages workshop"
WADT,https://conf.researchr.org/home/wadt-2024,Workshop on Algebraic Development Techniques,"Enschede, The Netherlands",15 April 2024,during STAF,29 April 2024,post-proceedings
FM,https://www.fm24.polimi.it/,Formal Methods,"Milan, Italy",15/19 April 2024,9-13 September 2024,10 June 2024,"LNCS, 15 pages regular, tool, and case study; 6 pages demonstration, 22 pages tutorial, all excluding references"
ARQNL,http://iltp.de/ARQNL-2024/,Automated Reasoning in Quantified Non-Classical Logics,"Nancy, France",15/22 April 2024,2 July 2024,3 June 2024,"CEUR-WS,15 pages full, 8 pages short, 2 pages abstracts, all excluding references; co-located with IJCAR"
